Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,Resilient Web Design,1,60.89832,1138292.1944899305,15.736184359119141
Stale While Revalidate,Resilient Web Design,2,59.198832,1138292.1944899305,15.736184359119141
Stale While Revalidate,Resilient Web Design,3,59.05720799999999,1138292.1944899305,15.736184359119141
Stale While Revalidate,Resilient Web Design,4,58.06584,1138292.1944899305,15.736184359119141
Stale While Revalidate,Resilient Web Design,5,60.75669600000001,1138292.1944899305,15.736184359119141
Stale While Revalidate,Resilient Web Design,6,56.93284799999999,1138292.1944899305,15.736184359119141
Stale While Revalidate,Resilient Web Design,7,61.03994399999999,1138292.1944899305,15.736184359119141
Stale While Revalidate,Resilient Web Design,8,62.739432,1138292.1944899305,15.736184359119141
Stale While Revalidate,Resilient Web Design,9,60.1902,1138292.1944899305,15.736184359119141
Stale While Revalidate,Resilient Web Design,10,58.63233599999999,1138292.1944899305,15.736184359119141
