Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,La Cuenta,1,55.516608,1203585.5788080492,10.447117991056073
Stale While Revalidate,La Cuenta,2,55.65823200000001,1203585.5788080492,10.447117991056073
Stale While Revalidate,La Cuenta,3,54.808488,1203585.5788080492,10.447117991056073
Stale While Revalidate,La Cuenta,4,535.33872,1203585.5788080492,10.447117991056073
Stale While Revalidate,La Cuenta,5,55.374984,1203585.5788080492,10.447117991056073
Stale While Revalidate,La Cuenta,6,61.88968800000001,1203585.5788080492,10.447117991056073
Stale While Revalidate,La Cuenta,7,53.250624,1203585.5788080492,10.447117991056073
Stale While Revalidate,La Cuenta,8,54.383616,1203585.5788080492,10.447117991056073
Stale While Revalidate,La Cuenta,9,53.250624,1203585.5788080492,10.447117991056073
Stale While Revalidate,La Cuenta,10,52.68412800000001,1203585.5788080492,10.447117991056073
