Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,lacuenta,1,66.34029600000001,1194680.4526315788,11.843479532163744
Stale While Revalidate,lacuenta,2,63.12556800000001,1194680.4526315788,11.843479532163744
Stale While Revalidate,lacuenta,3,65.317428,1194680.4526315788,11.843479532163744
Stale While Revalidate,lacuenta,4,65.463552,1194680.4526315788,11.843479532163744
Stale While Revalidate,lacuenta,5,56.842236,1194680.4526315788,11.843479532163744
Stale While Revalidate,lacuenta,6,57.865104,1194680.4526315788,11.843479532163744
Stale While Revalidate,lacuenta,7,64.44068400000002,1194680.4526315788,11.843479532163744
Stale While Revalidate,lacuenta,8,64.002312,1194680.4526315788,11.843479532163744
Stale While Revalidate,lacuenta,9,63.85618800000001,1194680.4526315788,11.843479532163744
Stale While Revalidate,lacuenta,10,59.91083999999999,1194680.4526315788,11.843479532163744
