Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,jetzt,1,70.13951999999999,1214460.722894737,16.047473684210523
Stale While Revalidate,jetzt,2,70.13951999999999,1214460.722894737,16.047473684210523
Stale While Revalidate,jetzt,3,71.162388,1214460.722894737,16.047473684210523
Stale While Revalidate,jetzt,4,72.18525600000002,1214460.722894737,16.047473684210523
Stale While Revalidate,jetzt,5,73.646496,1214460.722894737,16.047473684210523
Stale While Revalidate,jetzt,6,72.18525600000002,1214460.722894737,16.047473684210523
Stale While Revalidate,jetzt,7,72.33138000000001,1214460.722894737,16.047473684210523
Stale While Revalidate,jetzt,8,70.577892,1214460.722894737,16.047473684210523
Stale While Revalidate,jetzt,9,73.500372,1214460.722894737,16.047473684210523
Stale While Revalidate,jetzt,10,73.062,1214460.722894737,16.047473684210523
